basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
02/01439500,0.0790729969739914,0.11439958214759827,0.14242568612098694,0.16173085570335388,0.17351624369621277,0.18045054376125336,0.1848268359899521,0.14785291254520416
02/01440000,0.16115467250347137,0.21389399468898773,0.22587504982948303,0.24006034433841705,0.2651943862438202,0.2590905427932739,0.2524431049823761,0.23092465102672577
02/01440400,0.18998578190803528,0.2176693230867386,0.22921042144298553,0.23427750170230865,0.25402024388313293,0.24056969583034515,0.24735982716083527,0.23036949336528778
02/01451800,0.15225370228290558,0.18224993348121643,0.196848064661026,0.20512723922729492,0.20496666431427002,0.20598140358924866,0.248943030834198,0.1993412971496582
02/01484100,0.3494919538497925,0.3312852382659912,0.33298760652542114,0.33855679631233215,0.31788134574890137,0.33646389842033386,0.3390343487262726,0.3351000249385834
02/01491000,0.17259906232357025,0.17791694402694702,0.1752360612154007,0.17658554017543793,0.1697234809398651,0.18773730099201202,0.22701291739940643,0.18382953107357025
02/01510000,0.18181002140045166,0.22570177912712097,0.2422032356262207,0.2537933886051178,0.26262983679771423,0.26538756489753723,0.2659246325492859,0.24247591197490692
02/01516500,0.43557754158973694,0.42819344997406006,0.4091552793979645,0.41026023030281067,0.4057769179344177,0.420311838388443,0.4598951041698456,0.4241648316383362
02/01518862,0.2768448293209076,0.31644195318222046,0.3167104125022888,0.31047603487968445,0.314258873462677,0.3177747130393982,0.3686838746070862,0.3173120319843292
02/01532000,0.4287969172000885,0.41693180799484253,0.3966044485569,0.4042704701423645,0.3874402940273285,0.41970816254615784,0.4573080241680145,0.415844589471817
02/01539000,0.14530032873153687,0.18160177767276764,0.18986749649047852,0.20225198566913605,0.21066345274448395,0.21215395629405975,0.21545977890491486,0.1938714236021042
02/01542810,0.19930993020534515,0.2659543454647064,0.26918211579322815,0.2766437530517578,0.28555047512054443,0.30004245042800903,0.31975358724594116,0.27377697825431824
02/01543500,0.10488902777433395,0.17051275074481964,0.1926351636648178,0.20402051508426666,0.21812057495117188,0.2332952618598938,0.24662964046001434,0.195726215839386
02/01544500,0.11058854311704636,0.17500407993793488,0.19669519364833832,0.20390714704990387,0.2184828817844391,0.23186200857162476,0.26685553789138794,0.20048144459724426
02/01545600,0.10899228602647781,0.13771843910217285,0.1577351838350296,0.17450368404388428,0.18472544848918915,0.1950967162847519,0.22817504405975342,0.16956065595149994
02/01547700,0.19584298133850098,0.24328693747520447,0.2555970549583435,0.2801411747932434,0.3011969029903412,0.29343104362487793,0.3474503457546234,0.27384835481643677
02/01548500,0.09010962396860123,0.14512678980827332,0.1637783944606781,0.17604802548885345,0.18069112300872803,0.1874619424343109,0.20415258407592773,0.1639067530632019
02/01549500,0.22154930233955383,0.24583299458026886,0.263156920671463,0.2683778703212738,0.26910507678985596,0.2824552059173584,0.3190009295940399,0.26704010367393494
02/01550000,0.2847055196762085,0.2954503297805786,0.2912313938140869,0.29800692200660706,0.31148427724838257,0.3194238245487213,0.3641383945941925,0.3091781437397003
02/01552000,0.17699746787548065,0.2205457240343094,0.21940690279006958,0.23596668243408203,0.24531182646751404,0.2557171583175659,0.2811390161514282,0.23346759378910065
02/01552500,0.31558310985565186,0.3255351781845093,0.33193349838256836,0.33093634247779846,0.34334176778793335,0.3550153374671936,0.3873659074306488,0.34125158190727234
02/01557500,0.14377517998218536,0.17493553459644318,0.19549699127674103,0.20892979204654694,0.22989758849143982,0.23063093423843384,0.27169883251190186,0.20790880918502808
02/01567500,0.3274233043193817,0.3630335330963135,0.39636221528053284,0.40562042593955994,0.40815603733062744,0.4045465290546417,0.4115820527076721,0.38810107111930847
02/01568000,0.1897599995136261,0.2589395046234131,0.275151789188385,0.2751431167125702,0.2903260886669159,0.28604811429977417,0.2912719249725342,0.26665550470352173
02/01580000,0.3009849190711975,0.30796554684638977,0.2997426986694336,0.3175187110900879,0.32566913962364197,0.3484204113483429,0.33293917775154114,0.3190128803253174
02/01586610,0.44351834058761597,0.413199245929718,0.3933609426021576,0.4020845890045166,0.40922626852989197,0.43047380447387695,0.4412148594856262,0.4190061092376709
02/01591400,0.5135090351104736,0.529332160949707,0.49847182631492615,0.5448386073112488,0.5556964874267578,0.5820356607437134,0.657019853591919,0.5543695688247681
02/01594950,0.23180975019931793,0.28514567017555237,0.2909664511680603,0.31338757276535034,0.31080737709999084,0.2824661135673523,0.30945825576782227,0.2891465127468109
02/01596500,0.17324437201023102,0.2410934716463089,0.2504136264324188,0.2670127749443054,0.2678624093532562,0.2550604045391083,0.24416682124137878,0.242693692445755
02/01605500,0.2894185483455658,0.31822746992111206,0.3419215977191925,0.3581574857234955,0.36350512504577637,0.36074700951576233,0.3527405560016632,0.34067144989967346
